save_as,product,brand,current_image_on_old_site,new_page
assets/products/7am.jpg,Omnia.7AM,Omnia,https://btsi.com.ph/wp-content/uploads/2018/08/omnia-7AM.jpg,/products/7am/
assets/products/7fm.jpg,Omnia.7FM,Omnia,https://btsi.com.ph/wp-content/uploads/2018/08/omnia-7FM.jpg,/products/7fm/
assets/products/9sg.jpg,Omnia.9sg Broadcast Stereo Generator,Omnia,https://btsi.com.ph/wp-content/uploads/2018/08/omnia-9sg-front.jpg,/products/9sg/
assets/products/9x2.jpg,Telos Z/IPStream 9X/2,Telos,https://btsi.com.ph/wp-content/uploads/2018/08/ZIPStream-9X2.jpg,/products/9x2/
assets/products/adbox.jpg,PlayBox AdBox Neo,PlayBox,https://btsi.com.ph/wp-content/uploads/2018/08/PlayBox-AdBox-logo.png,/products/adbox/
assets/products/aero-10.jpg,Linear Acoustic AERO.10 DTV Audio Processor,Linear Acoustic,https://btsi.com.ph/wp-content/uploads/2018/08/linear-acoustic-AERO10.jpg,/products/aero-10/
assets/products/aero-100.jpg,Linear Acoustic AERO.100 DTV Audio Processor,Linear Acoustic,https://btsi.com.ph/wp-content/uploads/2018/08/linear-acoustic-AERO100.jpg,/products/aero-100/
assets/products/aero-2000.jpg,Linear Acoustic AERO.2000 Audio/Loudness Manager,Linear Acoustic,https://btsi.com.ph/wp-content/uploads/2018/08/linear-acoustic-AERO2000.jpg,/products/aero-2000/
assets/products/aero-8000.jpg,Linear Acoustic AERO.8000,Linear Acoustic,https://btsi.com.ph/wp-content/uploads/2018/08/linear-acoustic-AEROsoft.jpg,/products/aero-8000/
assets/products/airbox.jpg,PlayBox AirBox Neo,PlayBox,https://btsi.com.ph/wp-content/uploads/2018/08/PlayBox-AirBox-logo.png,/products/airbox/
assets/products/alpan.jpg,Itelco ALPAN Compact TX,Itelco,https://btsi.com.ph/wp-content/uploads/2018/08/itelco-alpan.jpg,/products/alpan/
assets/products/capturebox.jpg,PlayBox CaptureBox Neo,PlayBox,https://btsi.com.ph/wp-content/uploads/2018/08/PlayBox-CaptureBox-logo.png,/products/capturebox/
assets/products/cinema-round.jpg,Vicoustic Cinema Round,Vicoustic,https://btsi.com.ph/wp-content/uploads/2018/08/vicoustic-cinemar-round1-foam_grande.jpg,/products/cinema-round/
assets/products/cloudair.jpg,PlayBox CloudAir,PlayBox,https://btsi.com.ph/wp-content/uploads/2018/08/PlayBox-CloudAir.jpg,/products/cloudair/
assets/products/databox.jpg,PlayBox DataBox Neo,PlayBox,https://btsi.com.ph/wp-content/uploads/2018/08/PlayBox-DataBox-logo.png,/products/databox/
assets/products/desq.jpg,Axia DESQ Compact Desktop IP-Audio Console,Axia,https://btsi.com.ph/wp-content/uploads/2018/08/axia-DESQ.jpg,/products/desq/
assets/products/ebox.jpg,Elenos eBox Remote Control Unit,Elenos,https://btsi.com.ph/wp-content/uploads/2018/08/elenos-ebox-01.jpg,/products/ebox/
